Master NLC,Master ASC,Unique Station Name,Easting,Northing,Latitude,Longitude
6968,SMHr,Stamford Hill,533382.4447,187926.3584,51.574429,-0.076654675
714,STAu,Stanmore,517608.8045,192478.5283,51.618857,-0.30262415
889,STLd,Star Lane,539148.5646,182083.7404,51.520541,0.004202648
715,STGu,Stepney Green,535613.1967,182117.6351,51.521706,-0.046717419
716,STKu,Stockwell,530496.803,176476.3888,51.472207,-0.12249873
6934,SKWr,Stoke Newington,533685.0693,186891.6476,51.565066,-0.072677991
717,SPKu,Stonebridge Park,519632.255,184209.4119,51.544106,-0.27623234
5606,SNLr,Stoneleigh,522040.3028,164142.4695,51.363243,-0.24844133
719,SFDu,Stratford,538548.3992,184376.5069,51.541294,-0.003552785
749,SHSd,Stratford High Street,538796.5121,183977.9728,51.537647,-0.000121785
504,STId,Stratford International DLR,538132.022,184856.8934,51.545709,-0.009359301
7222,SFAr,Stratford International NR,538177.0509,184756.594,51.544799,-0.00875
5607,STWr,Strawberry Hill,515523.4856,172438.0235,51.439167,-0.33930782
5383,STEr,Streatham,529997.2655,171303.0428,51.425834,-0.13159236
5384,SRCr,Streatham Common,529716.2658,170487.1342,51.418565,-0.13593019
5435,SRHr,Streatham Hill,530242.5545,172694.8633,51.438287,-0.12754467
1483,SUDr,Sudbury & Harrow Road,516844.7787,185284.1354,51.554351,-0.31604688
720,SHLu,Sudbury Hill,515437.8331,185533.3401,51.556878,-0.33625023
1484,SDHr,Sudbury Hill Harrow,515437.6969,185717.0906,51.558532,-0.33618989
721,STNu,Sudbury Town,516883.7969,184884.3215,51.550748,-0.31561741
5155,SUPr,Sundridge Park,540672.2522,170246.4951,51.413789,0.021432354
5571,SURr,Surbiton,518097.291,167294.7194,51.392414,-0.30400331
1083,SQEr,Surrey Quays,535619.584,178970.5556,51.493425,-0.047825767
5385,SUOr,Sutton (Surrey),526056.4845,163842.7366,51.359679,-0.19089299
5436,SUCr,Sutton Common,525655.3104,165579.3386,51.37537,-0.1960363
5075,SAYr,Swanley,550964.5705,168262.2194,51.393318,0.16848905
723,SWCu,Swiss Cottage,526653.7885,184336.5598,51.543726,-0.17497882
5437,SYDr,Sydenham,535350.4047,171565.7706,51.426945,-0.054544455
5085,SYHr,Sydenham Hill,533553.4452,172148.9627,51.432611,-0.080156813
5609,SYLr,Syon Lane,516429.4368,177199.528,51.481781,-0.32471236
5386,TADr,Tadworth,523107.6582,156176.6701,51.291427,-0.23585791
3151,TAPr,Taplow,491562.9303,181325.6762,51.523438,-0.68161904
5387,TATr,Tattenham Corner,522621.0058,158078.7039,51.308627,-0.24218571
5572,TEDr,Teddington,516028.2689,170813.7876,51.424468,-0.33257692
724,TEMu,Temple,530952.9706,180800.6227,51.510969,-0.11433396
5610,THDr,Thames Ditton,515660.1111,166865.5605,51.389059,-0.33915348
